StationID,EohaustoriusCategory,EohaustoriusScore,MytilusCategory,MytilusScore,IntegratedToxLOE,IntegratedToxScore,TargetLatitude,TargetLongitude,B13_Stratum,CompressedStratum,Region,AW_Apod_Tox,AW_Mussel_Tox
B13-8355,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.74233,-118.15301,Bay,Bay,Los Angeles/Long Beach,2.003123859,2.003123859
B13-8358,Moderate Toxicity,3,Nontoxic,1,Low Toxicity,2,33.7442,-118.16867,Bay,Bay,Los Angeles/Long Beach,2.003123859,2.003123859
B13-8375,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.75284,-118.177488,Bay,Bay,Los Angeles/Long Beach,2.003123859,2.003123859
B13-8388,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.75964,-118.16271,Bay,Bay,Los Angeles/Long Beach,2.003123859,2.003123859
B13-8002,Nontoxic,1,Nontoxic,1,Nontoxic,1,32.55659,-117.12813,Estuaries,Estuaries,Tijuana River Estuary,0.092009243,0.092009243
B13-8008,Nontoxic,1,Nontoxic,1,Nontoxic,1,32.55824,-117.120576,Estuaries,Estuaries,Tijuana River Estuary,0.092009243,0.092009243
B13-8043,Nontoxic,1,Nontoxic,1,Nontoxic,1,32.650076,-117.105062,Estuaries,Estuaries,Sweetwater Channel,0.288519581,0.288519581
B13-8129,Nontoxic,1,Nontoxic,1,Nontoxic,1,32.7568,-117.23537,Estuaries,Estuaries,San Diego River,0.16147762,0.16147762
B13-8134,Nontoxic,1,Nontoxic,1,Nontoxic,1,32.757514,-117.237888,Estuaries,Estuaries,San Diego River,0.16147762,0.16147762
B13-8136,Nontoxic,1,Nontoxic,1,Nontoxic,1,32.75785,-117.22741,Estuaries,Estuaries,San Diego River,0.16147762,0.16147762
B13-8169,Nontoxic,1,Nontoxic,1,Nontoxic,1,32.931654,-117.252323,Estuaries,Estuaries,Los Penasquitos Lagoon,0.047283256,0.047283256
B13-8176,Nontoxic,1,Nontoxic,1,Nontoxic,1,32.933565,-117.256651,Estuaries,Estuaries,Los Penasquitos Lagoon,0.047283256,0.047283256
B13-8179,Low Toxicity,2,Nontoxic,1,Low Toxicity,2,32.966012,-117.252438,Estuaries,Estuaries,San Dieguito Lagoon,0.114198262,0.114198262
B13-8180,Nontoxic,1,Nontoxic,1,Nontoxic,1,32.96648,-117.25787,Estuaries,Estuaries,San Dieguito Lagoon,0.114198262,0.114198262
B13-8187,Nontoxic,1,Nontoxic,1,Nontoxic,1,32.970836,-117.258183,Estuaries,Estuaries,San Dieguito Lagoon,0.114198262,0.114198262
B13-8188,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.016161,-117.280711,Estuaries,Estuaries,San Elijo Lagoon,0.034767633,0.034767633
B13-8189,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.012243,-117.274567,Estuaries,Estuaries,San Elijo Lagoon,0.034767633,0.034767633
B13-8200,Low Toxicity,2,Nontoxic,1,Low Toxicity,2,33.08508,-117.309712,Estuaries,Estuaries,Batiquitos Lagoon,0.308850898,0.308850898
B13-8202,Moderate Toxicity,3,Nontoxic,1,Low Toxicity,2,33.08822,-117.29156,Estuaries,Estuaries,Batiquitos Lagoon,0.308850898,0.308850898
B13-8205,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.088855,-117.295636,Estuaries,Estuaries,Batiquitos Lagoon,0.308850898,0.308850898
B13-8218,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.13922,-117.33775,Estuaries,Estuaries,Agua Hedionda Lagoon,0.352791095,0.352791095
B13-8219,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.13944,-117.31866,Estuaries,Estuaries,Agua Hedionda Lagoon,0.352791095,0.352791095
B13-8222,Low Toxicity,2,Nontoxic,1,Low Toxicity,2,33.14016,-117.32504,Estuaries,Estuaries,Agua Hedionda Lagoon,0.352791095,0.352791095
B13-8248,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.2318,-117.41337,Estuaries,Estuaries,Santa Margarita Estuary,0.074620202,0.074620202
B13-8250,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.232096,-117.412437,Estuaries,Estuaries,Santa Margarita estuary,0.074620202,0.074620202
B13-8253,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.233208,-117.413185,Estuaries,Estuaries,Santa Margarita estuary,0.074620202,0.074620202
B13-8279,Nontoxic,1,Nontoxic,1,Nontoxic,1,33.617018,-117.904983,Estuaries,Estuaries,Upper Newport Bay,0.637015357,0.637015357
B13-8286,Nontoxic,1,Low Toxicity,2,Low Toxicity,2,33.635665,-117.956096,Estuaries,Estuaries,Santa Ana River,0.327591474,0.327591474
B13-8287,Low Toxicity,2,Nontoxic,1,Low Toxicity,2,33.63664,-117.95407,Estuaries,Estuaries,Santa Ana River,0.327591474,0.327591474
B13-8290,Moderate Toxicity,3,Nontoxic,1,Low Toxicity,2,33.64585,-117.88894,Estuaries,Estuaries,Upper Newport Bay,0.327591474,0.327591474
B13-8291,Moderate Toxicity,3,Nontoxic,1,Low Toxicity,2,33.646548,-117.886781,Estuaries,Estuaries,Upper Newport Bay,0.327591474,0.327591474
